profile_key,renewable_level,fossil_level,low_carbon_level,start_date,end_date,is_current
440,LOW,LOW,LOW,2026-06-02,,true
443,LOW,LOW,LOW,2026-06-02,,true
451,LOW,LOW,LOW,2026-06-02,,true
452,LOW,LOW,LOW,2026-06-02,,true
457,LOW,LOW,LOW,2026-06-02,,true
459,LOW,LOW,LOW,2026-06-02,,true
467,LOW,LOW,LOW,2026-06-02,,true
478,LOW,LOW,LOW,2026-06-02,,true
480,LOW,LOW,LOW,2026-06-02,,true
490,LOW,LOW,LOW,2026-06-02,,true
494,LOW,LOW,LOW,2026-06-02,,true
495,LOW,LOW,LOW,2026-06-02,,true
498,LOW,LOW,LOW,2026-06-02,,true
504,LOW,LOW,LOW,2026-06-02,,true
506,LOW,LOW,LOW,2026-06-02,,true
509,LOW,LOW,LOW,2026-06-02,,true
510,LOW,LOW,LOW,2026-06-02,,true
512,LOW,LOW,LOW,2026-06-02,,true
514,LOW,LOW,LOW,2026-06-02,,true
518,LOW,LOW,LOW,2026-06-02,,true
520,LOW,LOW,LOW,2026-06-02,,true
523,LOW,LOW,LOW,2026-06-02,,true
526,LOW,LOW,LOW,2026-06-02,,true
528,LOW,LOW,LOW,2026-06-02,,true
529,LOW,LOW,LOW,2026-06-02,,true
530,LOW,LOW,LOW,2026-06-02,,true
534,LOW,LOW,LOW,2026-06-02,,true
538,LOW,LOW,LOW,2026-06-02,,true
543,LOW,LOW,LOW,2026-06-02,,true
545,LOW,LOW,LOW,2026-06-02,,true
549,LOW,LOW,LOW,2026-06-02,,true
553,LOW,LOW,LOW,2026-06-02,,true
559,LOW,LOW,LOW,2026-06-02,,true
564,LOW,LOW,LOW,2026-06-02,,true
575,LOW,LOW,LOW,2026-06-02,,true
579,LOW,LOW,LOW,2026-06-02,,true
587,LOW,LOW,LOW,2026-06-02,,true
590,LOW,LOW,LOW,2026-06-02,,true
592,LOW,LOW,LOW,2026-06-02,,true
594,LOW,LOW,LOW,2026-06-02,,true
595,LOW,LOW,LOW,2026-06-02,,true
597,LOW,LOW,LOW,2026-06-02,,true
599,LOW,LOW,LOW,2026-06-02,,true
601,LOW,LOW,LOW,2026-06-02,,true
605,LOW,LOW,LOW,2026-06-02,,true
607,LOW,LOW,LOW,2026-06-02,,true
611,LOW,LOW,LOW,2026-06-02,,true
617,LOW,LOW,LOW,2026-06-02,,true
618,LOW,LOW,LOW,2026-06-02,,true
619,LOW,LOW,LOW,2026-06-02,,true
625,LOW,LOW,LOW,2026-06-02,,true
626,LOW,LOW,LOW,2026-06-02,,true
633,LOW,LOW,LOW,2026-06-02,,true
636,LOW,LOW,LOW,2026-06-02,,true
637,LOW,LOW,LOW,2026-06-02,,true
639,LOW,LOW,LOW,2026-06-02,,true
641,LOW,LOW,LOW,2026-06-02,,true
643,LOW,LOW,LOW,2026-06-02,,true
646,LOW,LOW,LOW,2026-06-02,,true
649,LOW,LOW,LOW,2026-06-02,,true
651,LOW,LOW,LOW,2026-06-02,,true
662,LOW,LOW,LOW,2026-06-02,,true
