country_key,iso_code,country,start_date,end_date,is_current
145,GUF,French Guiana,2026-06-02,,true
146,GIB,Gibraltar,2026-06-02,,true
147,GNB,Guinea-Bissau,2026-06-02,,true
148,GUY,Guyana,2026-06-02,,true
149,HTI,Haiti,2026-06-02,,true
150,IND,India,2026-06-02,,true
151,JPN,Japan,2026-06-02,,true
152,KEN,Kenya,2026-06-02,,true
153,KWT,Kuwait,2026-06-02,,true
154,KGZ,Kyrgyzstan,2026-06-02,,true
155,LAO,Laos,2026-06-02,,true
156,LSO,Lesotho,2026-06-02,,true
157,LBR,Liberia,2026-06-02,,true
158,LUX,Luxembourg,2026-06-02,,true
159,MDV,Maldives,2026-06-02,,true
160,FSM,Micronesia (country),2026-06-02,,true
161,MOZ,Mozambique,2026-06-02,,true
162,NRU,Nauru,2026-06-02,,true
163,NLD,Netherlands,2026-06-02,,true
164,NZL,New Zealand,2026-06-02,,true
165,MNP,Northern Mariana Islands,2026-06-02,,true
166,PAK,Pakistan,2026-06-02,,true
167,PSE,Palestine,2026-06-02,,true
168,POL,Poland,2026-06-02,,true
169,PRT,Portugal,2026-06-02,,true
170,REU,Reunion,2026-06-02,,true
171,KNA,Saint Kitts and Nevis,2026-06-02,,true
172,LCA,Saint Lucia,2026-06-02,,true
173,SOM,Somalia,2026-06-02,,true
174,ZAF,South Africa,2026-06-02,,true
175,SSD,South Sudan,2026-06-02,,true
176,SUR,Suriname,2026-06-02,,true
177,SWE,Sweden,2026-06-02,,true
178,TJK,Tajikistan,2026-06-02,,true
179,TGO,Togo,2026-06-02,,true
180,TUN,Tunisia,2026-06-02,,true
181,TUR,Turkey,2026-06-02,,true
182,UGA,Uganda,2026-06-02,,true
183,ARE,United Arab Emirates,2026-06-02,,true
184,ATA,Antarctica,2026-06-02,,true
185,ARG,Argentina,2026-06-02,,true
186,ARM,Armenia,2026-06-02,,true
187,BHS,Bahamas,2026-06-02,,true
188,BRB,Barbados,2026-06-02,,true
189,BRN,Brunei,2026-06-02,,true
190,CMR,Cameroon,2026-06-02,,true
191,CAN,Canada,2026-06-02,,true
192,CAF,Central African Republic,2026-06-02,,true
193,COM,Comoros,2026-06-02,,true
194,CRI,Costa Rica,2026-06-02,,true
195,HRV,Croatia,2026-06-02,,true
196,COD,Democratic Republic of Congo,2026-06-02,,true
197,TLS,East Timor,2026-06-02,,true
198,ERI,Eritrea,2026-06-02,,true
199,ETH,Ethiopia,2026-06-02,,true
200,FRO,Faroe Islands,2026-06-02,,true
201,FRA,France,2026-06-02,,true
202,GMB,Gambia,2026-06-02,,true
203,GLP,Guadeloupe,2026-06-02,,true
204,HND,Honduras,2026-06-02,,true
205,IRL,Ireland,2026-06-02,,true
